"","date","amount.x","cum_rolling_365_all","amount.y","cum_rolling_365_private","cum_rolling_365_health","cum_rolling_365_pubad","cum_rolling_365_realestate","cum_rolling_365_computing","cum_rolling_365_management","cum_rolling_365_bussup","cum_rolling_365_residential","cum_rolling_365_socialwork","cum_rolling_365_legal","cum_rolling_365_transport","cum_rolling_365_private2","cum_rolling_365_pubad2","cum_rolling_365_computing2","cum_rolling_365_legal2","cum_rolling_365_management2","cum_rolling_365_realestate2","cum_rolling_365_transport2","cum_rolling_365_health2","cum_rolling_365_bussup2","cum_rolling_365_residential2","cum_rolling_365_socialwork2","Rolling_Percent"
"463",2018-09-19,902382,32946372901,836918,2048692252,NA,40244982,75273693,55520684,NA,NA,NA,NA,NA,NA,2048692252,0.122152997299373,0.168518350007247,0.0887234873709353,0.267624883215365,0.228473383780936,0.0915162803826725,4.31796168056126,0.28221596131202,0.28120746486539,0.0930535968014539,6.21826341295924
"464",2018-09-20,61374,32946434275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2048692252,0.122152769747645,0.168518036084195,0.0887233220931008,0.267624384672505,0.228472958171131,0.091516109902306,4.31795363688109,0.282215435588287,0.281206941020327,0.0930534234573098,6.21825182931727
"465",2018-09-26,1524078,32947958353,1482408,2050174660,1422668757,NA,75311551,NA,NA,93047595,NA,NA,NA,NA,2050174660,0.122147119311068,0.168510240923455,0.0887192180068372,0.267612005136493,0.228577292083237,0.091511876629693,4.3179269008347,0.282407771683758,0.281193933194237,0.0930491190729835,6.22246343167824
"466",2018-09-27,3254921,32951213274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2050174660,0.122135053618056,0.168493595481075,0.0887104543220711,0.267585570421385,0.228554713217265,0.0915028370860952,4.31750037599541,0.282379875442762,0.281166156856213,0.0930399276805701,6.2218487767116
"467",2018-09-30,2685631236,33055928478,163083889,2055510223,1443942092,37986358,72357427,56862663,85507719,86123802,92791931,30743867,29451480,31067775,2055510223,0.114915416837501,0.172019560841694,0.0890959091335193,0.258675895480923,0.218893948322028,0.0939854859036158,4.36817889705019,0.260539654958773,0.280711918474039,0.0930056072104017,6.21828010176154
"468",2018-10-02,788102,33056716580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2055510223,0.114912677150103,0.172015459739892,0.0890937850065204,0.258669728413783,0.218888729692464,0.0939832452046875,4.36807475571731,0.260533443457923,0.280705226048195,0.0930033898726672,6.21813185234382
"469",2018-10-03,656231,33057372811,287781,2055798004,1443999092,NA,72420525,NA,NA,NA,NA,NA,29546813,NA,2055798004,0.114910395986943,0.172012045013688,0.0893804028799535,0.258664593489858,0.219075258684507,0.0939813795174372,4.36816047135936,0.260528271536878,0.280699653691545,0.0930015436367945,6.21887896462215
"470",2018-10-08,45695,33057418506,45695,2055843699,1444044787,NA,NA,NA,NA,NA,NA,NA,NA,NA,2055843699,0.114910237147239,0.172011807242841,0.0893802793301515,0.2586642359399,0.219074955858563,0.0939812496077427,4.36829266247122,0.260527911410773,0.280699265682703,0.0930014150815192,6.21900859750092
"471",2018-10-11,5181125,33062599631,983028,2056826727,1444121138,NA,NA,56904662,NA,NA,NA,30814617,NA,NA,2056826727,0.114892229963622,0.172111880599508,0.0893662728574327,0.258623701567092,0.21904062538415,0.0939665221329734,4.36783905112522,0.260487084987863,0.28065527827702,0.0932008291662212,6.22100727092097
"472",2018-10-17,294325,33062893956,47095,2056873822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2056873822,0.114891207196055,0.172110348464138,0.0893654773212557,0.2586213993058,0.219038675490346,0.0939656856455001,4.3678001687385,0.260484766138782,0.28065277989122,0.0931999994949262,6.22109433232699
"473",2018-10-24,394975,33063288931,282530,2057156352,NA,NA,NA,NA,NA,NA,NA,NA,29594076,NA,2057156352,0.114889834702391,0.172108292428968,0.0895073568203093,0.25861830980713,0.219036058848032,0.0939645631287182,4.36774799087213,0.260481654380278,0.280649427205043,0.0931988861250532,6.22187452764634
"474",2018-10-31,3250610484,33722229254,200886378,2110297624,1483750050,40013944,74603715,58197570,86841213,83808559,94178702,32742071,29801477,32768021,2110297624,0.118657469820901,0.17257924902191,0.0883733894800714,0.257519194077892,0.22123008072235,0.0971703879752054,4.39991685847401,0.248526152790029,0.279277806015238,0.0970934357671988,6.2578829178373
"475",2018-11-07,390366,33722619620,325446,2110623070,NA,NA,NA,NA,NA,NA,NA,NA,29850521,NA,2110623070,0.118656096266818,0.172577251280575,0.0885178000296763,0.257516213089498,0.221227519809151,0.0971692631510932,4.39986592595561,0.248523275903202,0.279274573153697,0.0970923118338693,6.25877554526709
"476",2018-11-09,32839,33722652459,32839,2110655909,1483782889,NA,NA,NA,NA,NA,NA,NA,NA,NA,2110655909,0.11865598071993,0.172577083225457,0.0885177138313549,0.257515962321118,0.221227304378572,0.0971691685280076,4.39995902102892,0.248523033892113,0.279274301197103,0.0970922172857186,6.25886683014077
